uid	passedTime	posX	posY	posZ
0	0	1500.0708994559209	1500.070663124401	3.0
1	0	1000.0709585629031	1000.0706037700886	3.0
0	0	1500.0709702845481	1500.0707337169329	3.0
1	0	1000.0710294505783	1000.0706743033254	3.0
0	0	1500.0	1500.0	3.0
1	0	1000.0	1000.0	3.0
0	0	1499.9288880581973	1499.9291250980032	3.0
1	0	999.9288287740712	999.9291846302009	3.0
0	0	1499.8576344591402	1499.8581090109426	3.0
1	0	999.8575157727919	999.858228193928	3.0
0	0	1499.7862392028283	1499.7869517388185	3.0
1	0	999.7860609961622	999.7871306911815	3.0
0	0	1499.7147022892616	1499.7156532816307	3.0
1	0	999.714464444182	999.7158921219612	3.0
0	0	1499.6430237184404	1499.6442136393791	3.0
1	0	999.6427261168513	999.6445124862673	3.0
0	0	1499.5712034903652	1499.5726328120634	3.0
1	0	999.5708460141702	999.5729917840996	3.0
